ID;TITLE;RELEASE_DATE;CITY;GRADE;BEGIN_DATE;DURATION;RENUMBER;DESCRIPTION;ID_COMPANY
0;Engineer, electronics;2014-09-25;Joshuatown;several;1984-07-28;4;2102.25;Should respond short start word teacher.;44
1;Forensic scientist;1985-08-06;Port Brianmouth;without;2006-07-27;2;4922.85;Ahead him minute administration Republican red.;23
2;Surveyor, land/geomatics;2016-09-15;Darrellport;professor;1975-02-06;11;1668.33;Rest north age PM them on window.;39
3;Multimedia programmer;2004-02-01;Ericville;window;2011-04-09;12;3969.43;Already coach people the east manage very into.;43
4;Commissioning editor;1987-05-27;Gloriamouth;agency;2024-05-24;7;4613.6;Spend customer way compare.;32
5;Programmer, applications;1980-03-28;South Raven;wind;1995-01-11;8;4018.61;Production clear exist study leader movement fly.;15
6;Accountant, chartered public finance;1992-05-01;Santosburgh;charge;2016-07-28;10;4665.79;Enough own light to teach tonight.;32
7;Purchasing manager;2008-07-23;Bryanview;onto;2007-09-25;9;2149.52;Behind particular raise sure situation.;35
8;Air traffic controller;1988-03-14;Lake Joseph;arrive;1977-01-01;7;4128.95;Girl rock can figure surface.;36
9;Development worker, international aid;1993-01-06;Johnhaven;the;1987-02-01;2;1439.06;Seek office occur tonight fire mission.;15
10;Therapist, horticultural;2019-06-06;Karenberg;business;2000-11-26;9;647.17;Executive particularly world increase.;7
11;Sports administrator;1972-09-05;East Katelynstad;new;1984-03-17;4;599.66;Degree why newspaper happy official theory.;31
12;Media buyer;2011-07-08;Jenniferhaven;another;1971-12-02;3;1035.09;Prevent something tree mind.;21
13;Insurance account manager;2023-01-09;South William;score;2006-12-08;1;985.9;Front car gas theory. Force worry apply.;49
14;Writer;1986-12-11;Anthonybury;name;2005-01-11;6;2587.4;Analysis share person quickly ok.;27
15;Advertising account executive;1977-02-25;Port Sabrina;individual;1986-03-21;4;2234.77;Himself join ground agree nature close.;39
16;Academic librarian;2020-09-04;North Stacey;truth;1986-06-26;8;2608.6;Day response successful American work this.;13
17;Primary school teacher;2006-11-11;Gregoryfort;necessary;2004-11-25;1;3488.26;Impact commercial significant word.;15
18;Research scientist (medical);2020-06-13;North Johnburgh;down;1999-05-15;12;4989.48;Political leave ask when late.;35
19;Designer, furniture;1974-07-30;Bakerborough;provide;1993-05-20;10;2872.5;Face measure kid break.;7
20;Animal technologist;2008-07-11;West Amyfurt;wear;1988-09-05;11;543.9;Main study phone.;39
21;Financial manager;2022-05-05;South Robert;half;1990-12-31;9;3434.44;Work she clear though politics.;18
22;Technical author;1999-10-17;East Joanna;put;1974-04-14;12;4768.75;Ready know just during study arm.;17
23;Scientist, physiological;2011-05-02;Kyleshire;relationship;1971-03-26;9;1705.4;Reach her serve happy go.;13
24;Games developer;1971-07-10;Christopherport;economic;2010-10-29;6;4392.31;Wrong writer degree push activity effect current.;38
25;Engineer, civil (contracting);1998-02-28;New Kristine;concern;1999-12-21;6;1756.54;Their add both charge without story.;32
26;Stage manager;1979-03-25;Port Jamesfort;common;1989-05-09;9;2165.39;Store glass along.;30
27;Teacher, secondary school;1979-09-15;Pearsonhaven;able;1976-12-09;1;3665.79;Lead kid off seat.;39
28;Environmental health practitioner;2010-07-08;Michaelburgh;executive;2021-06-02;2;2916.98;Million market would film hand.;48
29;Materials engineer;1987-05-01;New Phillip;southern;2013-01-06;10;551.96;Probably company know modern pressure indeed.;39
30;Historic buildings inspector/conservation officer;2003-07-01;West Brittneymouth;again;2016-04-04;10;3152.27;Message political try huge.;26
31;English as a second language teacher;2019-12-19;Kennethville;public;1990-12-29;7;2939.83;Parent card nothing doctor.;43
32;Logistics and distribution manager;1985-05-10;Port Williamhaven;whole;1996-03-05;12;3669.26;From hundred fill computer.;37
33;Editor, film/video;1980-04-04;Port Douglas;lawyer;1994-05-26;7;4955.4;Score program trade suffer.;9
34;Special educational needs teacher;2001-11-18;Schmittbury;lawyer;2007-01-05;8;4536.22;Job film event prevent body create.;38
35;Engineer, electronics;1983-08-26;Powellport;nation;2009-06-07;11;3508.64;Shoulder energy natural reflect identify believe.;17
36;Conservator, museum/gallery;1982-04-03;Baileyview;speech;1992-01-13;3;4513.42;Purpose community value already.;14
